N	Date	Time	Current,mA	Voltage,V	Field,kV/cm	FrameN	RunN	Trig	TrigTime,s	
0000228	16.03.2022	15:53:56	+00.000	+160.000	+50.000	00007	00002	0	00.00	
0000229	16.03.2022	15:53:56	+00.000	+160.000	+50.000	00007	00002	0	00.00	
0000230	16.03.2022	15:53:56	+00.000	+160.000	+50.000	00007	00002	0	00.00	
0000231	16.03.2022	15:53:56	+00.000	+160.000	+50.000	00007	00002	0	00.00	
0000232	16.03.2022	15:53:56	+00.000	+160.000	+50.000	00007	00002	0	00.00	
0000233	16.03.2022	15:53:56	+00.000	+160.000	+50.000	00007	00002	0	00.00	
0000234	16.03.2022	15:53:56	+00.000	+160.000	+50.000	00007	00002	0	00.01	
0000235	16.03.2022	15:53:56	+00.000	+160.000	+50.000	00007	00002	1	00.00	
0000236	16.03.2022	15:53:56	+00.000	+160.000	+50.000	00007	00002	1	00.00	
0000237	16.03.2022	15:53:56	+00.000	+160.000	+50.000	00007	00002	1	00.00	
0000238	16.03.2022	15:53:57	+00.000	+160.000	+50.000	00007	00002	1	00.00	
0000239	16.03.2022	15:53:57	+00.000	+160.000	+50.000	00007	00002	1	00.00	
0000240	16.03.2022	15:53:57	+00.000	+160.000	+50.000	00007	00002	1	00.00	
0000241	16.03.2022	15:53:57	+00.000	+160.000	+50.000	00007	00002	1	00.00	
0000242	16.03.2022	15:53:57	+00.000	+160.000	+50.000	00007	00002	1	00.00	
0000243	16.03.2022	15:53:57	+00.000	+160.000	+50.000	00007	00002	1	00.00	
0000244	16.03.2022	15:53:57	+00.000	+160.000	+50.000	00007	00002	1	00.00	
0000245	16.03.2022	15:53:57	+00.000	+160.000	+50.000	00007	00002	1	00.00	
0000246	16.03.2022	15:53:57	+00.000	+160.000	+50.000	00007	00002	1	00.00	
0000247	16.03.2022	15:53:57	+00.000	+160.000	+50.000	00007	00002	1	00.00	
0000248	16.03.2022	15:53:58	+00.000	+160.000	+50.000	00007	00002	1	00.00	
0000249	16.03.2022	15:53:58	+00.000	+160.000	+50.000	00007	00002	1	00.00	
0000250	16.03.2022	15:53:58	+00.000	+160.000	+50.000	00008	00002	0	01.58	
0000251	16.03.2022	15:53:58	+00.000	+160.000	+50.000	00008	00002	0	00.00	
0000252	16.03.2022	15:53:58	+00.000	+160.000	+50.000	00008	00002	0	00.00	
0000253	16.03.2022	15:53:58	+00.000	+160.000	+50.000	00008	00002	0	00.00	
0000254	16.03.2022	15:53:58	+00.000	+160.000	+50.000	00008	00002	0	00.00	
0000255	16.03.2022	15:53:58	+00.000	+160.000	+50.000	00008	00002	0	00.00	
0000256	16.03.2022	15:53:58	+00.000	+160.000	+50.000	00008	00002	0	00.00	
0000257	16.03.2022	15:53:58	+00.000	+160.000	+50.000	00008	00002	0	00.00	
0000258	16.03.2022	15:53:59	+00.000	+160.000	+50.000	00008	00002	0	00.00	
0000259	16.03.2022	15:53:59	+00.000	+160.000	+50.000	00008	00002	0	00.00	
0000260	16.03.2022	15:53:59	+00.000	+160.000	+50.000	00008	00002	0	00.00	
0000261	16.03.2022	15:53:59	+00.000	+160.000	+50.000	00008	00002	1	00.00	
